Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,164523894,2107.575539133415,4415516,56.56341634031726,638247,3412032,43.708637129269896,85785,1.0989186022095994,13247,
United States of America,Americas,32676954,9872.11,215561,65.12,29792,581717,175.74,4205,1.27,734,Community transmission
India,South-East Asia,25772440,1867.56,2068775,149.91,276110,287122,20.81,28805,2.09,3874,Clusters of cases
Brazil,Americas,15732836,7401.62,450131,211.77,75445,439050,206.55,13510,6.36,2513,Community transmission
France,Europe,5820918,8949.84,92891,142.82,18780,107403,165.14,1070,1.65,169,Community transmission
Turkey,Europe,5151038,6107.53,78576,93.17,11553,45419,53.85,1598,1.89,233,Community transmission
Russian Federation,Europe,4974908,3409,61469,42.12,9232,117361,80.42,2638,1.81,396,Clusters of cases
The United Kingdom,Europe,4452531,6558.84,10552,15.54,2135,127694,188.1,54,0.08,3,Community transmission
Italy,Europe,4172525,6996.01,41447,69.49,5500,124646,208.99,1102,1.85,149,Clusters of cases
Germany,Europe,3626393,4360.39,60689,72.97,12298,86902,104.49,1244,1.5,237,Community transmission
Spain,Europe,3619848,7647.68,23071,48.74,0,79502,167.96,152,0.32,0,Community transmission
Argentina,Americas,3371508,7459.79,180411,399.18,35543,71771,158.8,3460,7.66,744,Community transmission
Colombia,Americas,3144547,6179.97,112821,221.73,13137,82291,161.73,3520,6.92,482,Community transmission
Poland,Europe,2861351,7538.18,15589,41.07,2090,72500,191,1479,3.9,250,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2792204,3324.33,84443,100.54,12789,77765,92.59,1831,2.18,233,Community transmission
Mexico,Americas,2385512,1850.2,17119,13.28,2767,220746,171.21,1423,1.1,253,Community transmission
Ukraine,Europe,2170398,4962.75,34512,78.91,5165,48899,111.81,1566,3.58,203,Community transmission
Peru,Americas,1897900,5756.12,39661,120.29,4566,66770,202.51,2079,6.31,299,Community transmission
Indonesia,South-East Asia,1753101,640.93,24897,9.1,4871,48669,17.79,1052,0.38,192,Community transmission
Czechia,Europe,1656202,15487.3,6255,58.49,788,29967,280.22,142,1.33,19,Community transmission
South Africa,Africa,1621362,2733.77,19331,32.59,3522,55507,93.59,539,0.91,167,Community transmission
Netherlands,Europe,1610868,9253.83,33354,191.61,4613,17488,100.46,89,0.51,15,Community transmission
Canada,Americas,1338141,3545.48,38569,102.19,4037,25018,66.29,304,0.81,35,Community transmission
Chile,Americas,1300629,6803.8,40181,210.19,4767,27997,146.46,613,3.21,32,Community transmission
Philippines,Western Pacific,1159071,1057.73,40732,37.17,4700,19507,17.8,793,0.72,135,Community transmission
Iraq,Eastern Mediterranean,1151557,2862.97,23977,59.61,4609,16069,39.95,214,0.53,40,Community transmission
Romania,Europe,1073679,5554.8,4862,25.15,707,29716,153.74,483,2.5,54,Community transmission
Sweden,Europe,1051762,10184,23900,231.42,4631,14349,138.94,21,0.2,0,Community transmission
Belgium,Europe,1038514,9012.97,10558,91.63,1,24768,214.95,121,1.05,1,Community transmission
Pakistan,Eastern Mediterranean,886184,401.18,18746,8.49,3256,19856,8.99,646,0.29,104,Community transmission
Portugal,Europe,843278,8190.42,2785,27.05,511,17013,165.24,15,0.15,2,Clusters of cases
Israel,Europe,839162,9695.08,120,1.39,0,6395,73.88,16,0.18,0,Community transmission
Hungary,Europe,800368,8192.5,5168,52.9,780,29380,300.73,410,4.2,51,Community transmission
Bangladesh,South-East Asia,783737,475.89,6340,3.85,1608,12248,7.44,203,0.12,37,Community transmission
Jordan,Eastern Mediterranean,727612,7131.26,5276,51.71,1180,9314,91.29,134,1.31,19,Community transmission
Serbia,Europe,708328,10226.05,4831,69.74,609,6725,97.09,114,1.65,15,Community transmission
Japan,Western Pacific,698254,552.08,39625,31.33,5552,11940,9.44,775,0.61,89,Clusters of cases
Switzerland,Europe,681870,7878.68,5778,66.76,1,10143,117.2,19,0.22,0,Community transmission
Austria,Europe,634961,7133.54,5068,56.94,866,10252,115.18,82,0.92,13,Community transmission
United Arab Emirates,Eastern Mediterranean,550029,5561.24,9383,94.87,1348,1639,16.57,20,0.2,2,Clusters of cases
Lebanon,Eastern Mediterranean,537043,7868.25,2655,38.9,489,7651,112.1,102,1.49,10,Community transmission
Morocco,Eastern Mediterranean,515758,1397.32,1326,3.59,338,9106,24.67,18,0.05,1,Community transmission
Malaysia,Western Pacific,485496,1500.02,32274,99.72,6075,2040,6.3,279,0.86,46,Community transmission
Nepal,South-East Asia,480418,1648.84,58069,199.3,8064,5657,19.42,1405,4.82,246,Community transmission
Saudi Arabia,Eastern Mediterranean,436240,1253.06,6851,19.68,1213,7201,20.68,90,0.26,13,Community transmission
Kazakhstan,Europe,416183,2216.49,9159,48.78,0,4933,26.27,173,0.92,0,Clusters of cases
Bulgaria,Europe,415687,5979.83,2873,41.33,361,17416,250.54,266,3.83,37,Clusters of cases
Ecuador,Americas,412907,2340.34,8275,46.9,1441,19979,113.24,630,3.57,102,Community transmission
Slovakia,Europe,388391,7116.16,1523,27.9,253,12272,224.85,137,2.51,10,Clusters of cases
Greece,Europe,383558,3578.45,14004,130.65,2292,11587,108.1,376,3.51,53,Community transmission
Belarus,Europe,380089,4022.39,8684,91.9,1378,2732,28.91,71,0.75,11,Community transmission
Panama,Americas,371684,8614.23,3316,76.85,539,6300,146.01,18,0.42,3,Community transmission
Croatia,Europe,352692,8690.92,4534,111.73,695,7828,192.9,205,5.05,36,Community transmission
Bolivia (Plurinational State of),Americas,337441,2890.78,14863,127.33,2617,13635,116.81,327,2.8,69,Community transmission
Georgia,Europe,334705,8390.33,8264,207.16,1104,4540,113.81,161,4.04,21,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,333373,6534.91,1262,24.74,205,3716,72.84,47,0.92,5,Community transmission
Azerbaijan,Europe,331040,3264.96,2881,28.41,339,4814,47.48,88,0.87,12,Clusters of cases
Tunisia,Eastern Mediterranean,329925,2791.57,5822,49.26,1397,12032,101.81,395,3.34,61,Community transmission
Paraguay,Americas,318251,4461.96,16190,226.99,2704,7802,109.39,518,7.26,110,Community transmission
Kuwait,Eastern Mediterranean,294693,6900.55,6509,152.42,1119,1703,39.88,34,0.8,2,Community transmission
Costa Rica,Americas,290920,5710.9,17206,337.76,2294,3673,72.1,217,4.26,48,Community transmission
Dominican Republic,Americas,279565,2577.13,6068,55.94,1016,3597,33.16,43,0.4,0,Community transmission
Denmark,Europe,269343,4625.69,7184,123.38,1088,2505,43.02,6,0.1,2,Community transmission
Lithuania,Europe,268684,9616.15,6349,227.23,865,4155,148.71,84,3.01,16,Community transmission
Ethiopia,Africa,267597,232.77,3230,2.81,497,4038,3.51,100,0.09,17,Community transmission
Ireland,Europe,256446,5165.66,2433,49.01,0,4941,99.53,4,0.08,0,Community transmission
Republic of Moldova,Europe,254213,6301.82,1040,25.78,138,6053,150.05,72,1.78,10,Community transmission
Slovenia,Europe,250453,11949.89,3000,143.14,532,4660,222.34,17,0.81,0,Clusters of cases
Egypt,Eastern Mediterranean,249238,243.55,8311,8.12,1160,14498,14.17,407,0.4,57,Clusters of cases
Uruguay,Americas,246026,7082.47,20179,580.9,3120,3578,103,370,10.65,57,Community transmission
Guatemala,Americas,243833,1361.01,6151,34.33,1049,7928,44.25,113,0.63,15,Community transmission
Honduras,Americas,228287,2304.86,6169,62.28,771,6019,60.77,230,2.32,49,Community transmission
Armenia,Europe,221559,7476.93,1342,45.29,191,4364,147.27,73,2.46,7,Community transmission
Venezuela (Bolivarian Republic of),Americas,217603,765.24,7487,26.33,1188,2428,8.54,108,0.38,17,Community transmission
Qatar,Eastern Mediterranean,214150,7433.05,2026,70.32,295,538,18.67,19,0.66,2,Community transmission
Oman,Eastern Mediterranean,207805,4069.32,4390,85.97,696,2228,43.63,68,1.33,9,Community transmission
Bahrain,Eastern Mediterranean,206878,12158.03,12589,739.84,2354,773,45.43,68,4,8,Community transmission
Bosnia and Herzegovina,Europe,202847,6182.82,1051,32.03,172,9086,276.94,143,4.36,16,Community transmission
Libya,Eastern Mediterranean,182350,2653.79,1405,20.45,338,3097,45.07,15,0.22,0,Community transmission
Kenya,Africa,166382,309.43,1996,3.71,376,3035,5.64,85,0.16,14,Community transmission
Nigeria,Africa,165852,80.46,293,0.14,45,2067,1,1,0,0,Community transmission
North Macedonia,Europe,154891,7434.6,519,24.91,87,5249,251.95,98,4.7,17,Clusters of cases
Sri Lanka,South-East Asia,151343,706.77,18816,87.87,3623,1051,4.91,183,0.85,36,Clusters of cases
Myanmar,South-East Asia,143159,263.11,162,0.3,28,3216,5.91,5,0.01,3,Clusters of cases
Puerto Rico,Americas,137086,4791.79,1317,46.04,26,2452,85.71,57,1.99,7,Community transmission
Republic of Korea,Western Pacific,134117,261.59,4485,8.75,646,1916,3.74,25,0.05,4,Clusters of cases
Albania,Europe,132095,4590.14,250,8.69,24,2438,84.72,15,0.52,2,Clusters of cases
Latvia,Europe,129297,6777.73,3608,189.13,609,2298,120.46,75,3.93,18,Community transmission
Cuba,Americas,128094,1130.91,8719,76.98,1339,834,7.36,66,0.58,8,Community transmission
Estonia,Europe,128084,9637.8,1720,129.42,327,1235,92.93,23,1.73,3,Clusters of cases
Algeria,Africa,125896,287.1,1214,2.77,203,3395,7.74,45,0.1,7,Community transmission
Norway,Europe,119771,2231.38,2277,42.42,313,781,14.55,7,0.13,7,Clusters of cases
Thailand,South-East Asia,119585,171.33,25791,36.95,2636,703,1.01,185,0.27,25,Clusters of cases
Kosovo[1],Europe,107022,5960.02,414,23.06,62,2225,123.91,18,1,8,Community transmission
China,Western Pacific,105330,7.16,1429,0.1,288,4860,0.33,2,0,0,Clusters of cases
Kyrgyzstan,Europe,101580,1556.97,1935,29.66,361,1729,26.5,48,0.74,4,Clusters of cases
Montenegro,Europe,99023,15766.44,326,51.91,0,1564,249.02,13,2.07,0,Clusters of cases
Uzbekistan,Europe,97543,291.44,1717,5.13,263,676,2.02,9,0.03,2,Clusters of cases
Ghana,Africa,93456,300.76,331,1.07,0,783,2.52,0,0,0,Community transmission
Zambia,Africa,92630,503.86,419,2.28,110,1263,6.87,4,0.02,0,Community transmission
Finland,Europe,90687,1641.31,1417,25.65,289,929,16.81,0,0,0,Community transmission
Cameroon,Africa,77429,291.68,2696,10.16,0,1189,4.48,45,0.17,0,Community transmission
Cyprus,Europe,71533,8055.47,1175,132.32,135,348,39.19,7,0.79,0,Clusters of cases
El Salvador,Americas,71479,1102.02,1099,16.94,0,2199,33.9,31,0.48,4,Community transmission
Mozambique,Africa,70509,225.59,222,0.71,24,828,2.65,2,0.01,0,Community transmission
Luxembourg,Europe,69398,11084.03,650,103.82,159,808,129.05,2,0.32,0,Community transmission
Afghanistan,Eastern Mediterranean,64575,165.88,1530,3.93,453,2772,7.12,51,0.13,10,Community transmission
Singapore,Western Pacific,61689,1054.45,270,4.62,38,31,0.53,0,0,0,Sporadic cases
Botswana,Africa,53318,2267.28,4277,181.87,0,774,32.91,23,0.98,0,Community transmission
Namibia,Africa,51827,2039.71,1312,51.64,191,739,29.08,37,1.46,6,Community transmission
Mongolia,Western Pacific,50099,1528.21,3651,111.37,575,227,6.92,43,1.31,6,Clusters of cases
Maldives,South-East Asia,48608,8992.42,8516,1575.45,1187,112,20.72,25,4.62,7,Clusters of cases
Jamaica,Americas,47572,1606.53,650,21.95,93,892,30.12,72,2.43,14,Community transmission
Côte d’Ivoire,Africa,46777,177.33,261,0.99,69,298,1.13,6,0.02,0,Community transmission
Uganda,Africa,43094,94.21,607,1.33,164,350,0.77,4,0.01,1,Community transmission
Senegal,Africa,40925,244.42,163,0.97,29,1128,6.74,7,0.04,0,Community transmission
